1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.942093	0.000000	366.431330	0.008163	54.1
1	-0.972688	0.000000	366.431330	0.007665	7.0
2	-1.004020	0.000000	366.431330	0.007439	8.0
3	-1.033500	0.000000	366.431330	0.007202	8.4
4	-1.025450	0.000000	366.431330	0.006426	7.2
5	-1.014129	0.000000	366.431330	0.005497	7.9
6	-1.032337	0.000000	366.431330	0.006487	8.6
7	-1.018178	0.000000	366.431330	0.005330	9.0
8	-1.049071	0.000000	366.431330	0.005542	8.9
9	-1.056897	0.000000	366.431330	0.005023	7.1
10	-1.074820	0.000000	366.431330	0.005398	7.0
11	-1.079527	0.000000	366.431330	0.004532	8.1
12	-1.056377	0.000000	366.431330	0.005268	8.1
13	-1.076884	0.000000	366.431330	0.004775	7.6
14	-1.071302	0.000000	366.431330	0.004603	7.2
15	-1.062164	0.000000	366.431330	0.004662	6.9
16	-1.093575	0.000000	366.431330	0.005574	7.4
17	-1.078711	0.000000	366.431330	0.004594	8.1
18	-1.099231	0.000000	366.431330	0.005037	12.6
19	-1.108248	0.000000	366.431330	0.004507	10.3
20	-1.094483	0.000000	366.431330	0.004828	10.2
21	-1.105612	0.000000	366.431330	0.003828	11.5
22	-1.125769	0.000000	366.431330	0.004408	16.2
23	-1.111438	0.000000	366.431330	0.005012	17.9
24	-1.119240	0.000000	366.431330	0.004093	14.7
25	-1.104888	0.000000	366.431330	0.004026	16.1
26	-1.133019	0.000000	366.431330	0.003575	20.1
27	-1.110187	0.000000	366.431330	0.004129	14.3
28	-1.144792	0.000000	366.431330	0.004089	15.2
29	-1.133149	0.000000	366.431330	0.005865	17.4
30	-1.114164	0.000000	366.431330	0.004386	18.0
31	-1.113632	0.000000	366.431330	0.004709	11.3
32	-1.173131	0.000000	366.431330	0.004074	13.9
33	-1.124030	0.000000	366.431330	0.003430	12.5
34	-1.162262	0.000000	366.431330	0.004771	16.2
35	-1.157314	0.000000	366.431330	0.003826	9.1
36	-1.160439	0.000000	366.431330	0.006430	10.9
37	-1.120540	0.000000	366.431330	0.003809	8.8
38	-1.168232	1.000000	349.775361	0.003333	10.1
39	-1.153921	0.200000	362.974431	0.003471	8.8
40	-1.165328	0.000000	366.431330	0.004868	8.8
41	-1.144618	0.000000	366.431330	0.004762	8.8
42	-1.160883	1.000000	349.775361	0.003729	9.3
43	-1.154386	2.000000	334.567736	0.003268	7.5
44	-1.154067	1.200000	346.624231	0.003885	8.1
45	-1.167879	0.400000	359.582146	0.003868	7.3
46	-1.171841	0.000000	366.431330	0.005736	7.9
47	-1.183347	1.000000	349.775361	0.004874	7.2
48	-1.172012	0.200000	362.974431	0.006734	7.3
49	-1.190893	1.200000	346.624231	0.004684	7.8
50	-1.190990	2.200000	331.683532	0.004266	8.8
51	-1.152496	3.200000	317.977601	0.003818	8.0
52	-1.185933	2.400000	328.848630	0.003105	7.8
53	-1.159063	1.600000	340.489289	0.003750	7.8
54	-1.193465	0.800000	352.984309	0.003743	8.1
55	-1.196004	0.000000	366.431330	0.003788	8.6
56	-1.172819	0.000000	366.431330	0.004088	8.1
57	-1.187424	0.000000	366.431330	0.003759	9.9
58	-1.181964	1.000000	349.775361	0.004215	7.6
59	-1.194648	0.200000	362.974431	0.004216	7.4
60	-1.178784	1.200000	346.624231	0.005320	7.9
61	-1.193489	2.200000	331.683532	0.003630	9.9
62	-1.206734	1.400000	343.529372	0.004073	7.6
63	-1.206604	2.400000	328.848630	0.005678	8.5
64	-1.187239	3.400000	315.371227	0.004027	7.6
65	-1.191455	4.400000	302.955037	0.003559	7.5
66	-1.191428	5.400000	291.479467	0.003590	7.6
67	-1.190519	4.600000	300.588201	0.004158	7.6
68	-1.201930	3.800000	310.284594	0.003674	7.7
69	-1.210608	4.800000	298.258059	0.004560	7.5
70	-1.189898	5.800000	287.129027	0.003624	7.3
71	-1.181384	5.000000	295.963767	0.003804	8.2
72	-1.192529	5.921602	285.832097	0.003363	7.2
73	-1.247530	5.121602	294.585988	0.002652	7.3
74	-1.211240	4.321602	303.893014	0.003601	7.4
75	-1.212372	3.521602	313.807309	0.005091	7.3
76	-1.192551	4.521602	301.511557	0.003340	10.2
77	-1.186030	3.721602	311.268580	0.004816	7.0
78	-1.211168	4.721602	299.167134	0.005483	7.3
79	-1.230352	5.721602	287.971430	0.003948	7.7
80	-1.200101	6.721602	277.583451	0.003035	7.9
81	-1.182039	5.921602	285.832097	0.004280	7.6
82	-1.189840	6.921602	275.595145	0.003366	7.4
83	-1.196190	7.921602	266.066103	0.003394	7.6
84	-1.192351	7.121602	273.635120	0.004302	7.3
85	-1.228125	8.121602	264.238827	0.004375	8.4
86	-1.217395	9.121602	255.466424	0.002698	8.2
87	-1.224093	10.121602	247.257771	0.004751	7.5
88	-1.186204	9.321602	253.781378	0.004065	7.4
89	-1.232055	10.321602	245.678939	0.004611	8.0
90	-1.204086	11.321602	238.077863	0.003902	8.1
91	-1.208809	12.321602	230.933013	0.003986	7.6
92	-1.214703	11.521602	236.613742	0.003666	7.5
93	-1.221298	10.721602	242.581000	0.002611	7.4
94	-1.203108	9.921602	248.857027	0.004489	7.9
95	-1.245483	10.921602	241.061145	0.003846	7.6
96	-1.221452	11.921602	233.738867	0.002474	7.8
97	-1.236867	11.121602	239.560217	0.003216	7.7
98	-1.201780	10.321602	245.678939	0.002593	7.1
99	-1.239307	9.526602	252.077118	0.002494	7.5
